source_id,operation_date,importer_name,importer_tax_id,supplier_name,supplier_country,product_name,product_category,hs_code,origin_country,destination_country,quantity,unit,fob_value_usd,freight_usd,insurance_usd,tariff_rate,additional_tax_rate,entry_port,transport_mode,description_raw
SEED-00030,2025-07-19,Pisos y Revestimientos S.A.,21222333445,Jiangsu Door Systems Co.,CN,Tablero OSB 15mm,osb,441233,CN,UY,3994.79,m3,1192127.45,168251.35,5960.64,0.08,0.22,Santos BR,sea,Tablero OSB 15mm - BL ref 30
SEED-00031,2025-07-19,Importadora Construya UY,219876540012,Brazil Timber Export S.A.,BR,Placa fenólica 18mm,fenolicos,441233,BR,UY,11649.54,m2,309686.78,39625.56,1548.43,0.1,0.22,Zarate AR,sea,Placa fenólica 18mm - BL ref 31
SEED-00032,2025-07-19,Revestimientos Premium S.A.,21555666778,Jiangsu Door Systems Co.,CN,MDF melamina 18mm,mdf,441114,CN,UY,6431.92,m3,2511947.63,253757.68,12559.74,0.08,0.22,Montevideo,sea,MDF melamina 18mm - BL ref 32
SEED-00033,2025-07-21,Distribuidora Casamax S.A.,211234560018,Brazil Timber Export S.A.,BR,Cielorraso PVC blanco,cielorraso_pvc,392590,BR,UY,7283.89,m2,19367.62,1854.23,96.84,0.14,0.22,Zarate AR,sea,Cielorraso PVC blanco - BL ref 33
SEED-00034,2025-07-21,Maderas Uruguay Import,21888999001,Vietnam Stone Flex Co.,VN,Piedra flexible mural,piedra_flexible,680300,VN,UY,3473.28,m2,43631.6,5978.33,218.16,0.1,0.22,Zarate AR,sea,Piedra flexible mural - BL ref 34
SEED-00035,2025-07-21,Pisos y Revestimientos S.A.,21222333445,Guangdong PVC Ceiling Ltd.,CN,Perfil metal yeso 70mm,perfiles_yeso,721691,CN,UY,904.33,u,2377.18,307.63,11.89,0.12,0.22,Montevideo,sea,Perfil metal yeso 70mm - BL ref 35
SEED-00036,2025-07-21,Materiales del Plata S.R.L.,30709876543,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,6465.91,m2,40037.62,4581.53,200.19,0.14,0.22,Montevideo,sea,Piso SPC click 5mm - BL ref 36
SEED-00037,2025-07-21,Materiales del Plata S.R.L.,30709876543,Jiangsu Door Systems Co.,CN,Placa fenólica 18mm,fenolicos,441233,CN,UY,10137.94,m2,294718.01,39143.69,1473.59,0.1,0.22,Montevideo,sea,Placa fenólica 18mm - BL ref 37
SEED-00038,2025-07-23,Distribuidora Casamax S.A.,211234560018,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,10764.78,m2,198005.57,19975.07,990.03,0.14,0.22,Zarate AR,sea,Deck WPC exterior - BL ref 38
SEED-00039,2025-07-23,Maderas Uruguay Import,21888999001,Chile MDF Industries,CL,Piedra flexible mural,piedra_flexible,680300,CL,UY,6460.58,m2,72746.72,11171.8,363.73,0.1,0.22,Montevideo,sea,Piedra flexible mural - BL ref 39
SEED-00040,2025-07-23,Grupo Andino Building,20111222334,Chile MDF Industries,CL,Perfil metal yeso 70mm,perfiles_yeso,721691,CL,UY,1293.77,u,2545.08,252.36,12.73,0.12,0.22,Zarate AR,sea,Perfil metal yeso 70mm - BL ref 40
SEED-00041,2025-07-23,Grupo Andino Building,20111222334,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,6978.82,m2,61756.85,5599.92,308.78,0.14,0.22,Montevideo,sea,Piso SPC click 5mm - BL ref 41
SEED-00042,2025-07-23,Distribuidora Casamax S.A.,211234560018,Vietnam Stone Flex Co.,VN,MDF melamina 18mm,mdf,441114,VN,UY,7324.11,m3,1828235.24,180851.2,9141.18,0.08,0.22,Zarate AR,sea,MDF melamina 18mm - BL ref 42
SEED-00043,2025-07-23,Pisos y Revestimientos S.A.,21222333445,Zhejiang WPC New Materials Co.,CN,Puerta semi blindada,puertas_semi_blindada,441821,CN,UY,10867.96,u,1231995.56,132398.97,6159.98,0.12,0.22,Montevideo,sea,Puerta semi blindada - BL ref 43
SEED-00044,2025-07-27,Revestimientos Premium S.A.,21555666778,Shandong SPC Flooring Group,CN,Cielorraso PVC blanco,cielorraso_pvc,392590,CN,UY,11168.55,m2,38497.43,3902.68,192.49,0.14,0.22,Nueva Palmira,sea,Cielorraso PVC blanco - BL ref 44
SEED-00045,2025-07-27,Maderas Uruguay Import,21888999001,Vietnam Stone Flex Co.,VN,Piedra flexible mural,piedra_flexible,680300,VN,UY,9562.73,m2,121498.49,16632.35,607.49,0.1,0.22,Nueva Palmira,sea,Piedra flexible mural - BL ref 45
SEED-00046,2025-07-27,Pisos y Revestimientos S.A.,21222333445,Guangdong PVC Ceiling Ltd.,CN,Perfil metal yeso 70mm,perfiles_yeso,721691,CN,UY,5084.47,u,6554.22,805.83,32.77,0.12,0.22,Nueva Palmira,sea,Perfil metal yeso 70mm - BL ref 46
SEED-00047,2025-07-27,Importadora Construya UY,219876540012,Brazil Timber Export S.A.,BR,Tablero OSB 15mm,osb,441233,BR,UY,3296.74,m3,963326.03,113569.03,4816.63,0.08,0.22,Zarate AR,sea,Tablero OSB 15mm - BL ref 47
SEED-00048,2025-07-27,Maderas Uruguay Import,21888999001,Fujian OSB Manufacturing,CN,Puerta semi blindada,puertas_semi_blindada,441821,CN,UY,5276.4,u,1147380.66,146331.31,5736.9,0.12,0.22,Montevideo,sea,Puerta semi blindada - BL ref 48
SEED-00049,2025-07-29,Revestimientos Premium S.A.,21555666778,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,11580.38,m2,135681.86,13240.95,678.41,0.14,0.22,Santos BR,sea,Deck WPC exterior - BL ref 49
SEED-00050,2025-07-29,Pisos y Revestimientos S.A.,21222333445,Vietnam Stone Flex Co.,VN,Cielorraso PVC blanco,cielorraso_pvc,392590,VN,UY,5687.61,m2,36610.82,3591.35,183.05,0.14,0.22,Nueva Palmira,sea,Cielorraso PVC blanco - BL ref 50
SEED-00051,2025-07-29,Maderas Uruguay Import,21888999001,Turkey Marble Panel Inc.,TR,Placa simil mármol UV,placas_simil_marmol,681019,TR,UY,818.94,m2,21955.13,2803.49,109.78,0.12,0.22,Nueva Palmira,sea,Placa simil mármol UV - BL ref 51
SEED-00052,2025-07-29,Distribuidora Casamax S.A.,211234560018,Vietnam Stone Flex Co.,VN,Piedra flexible mural,piedra_flexible,680300,VN,UY,7779.34,m2,116460.51,11497.42,582.3,0.1,0.22,Zarate AR,sea,Piedra flexible mural - BL ref 52
SEED-00053,2025-07-29,Maderas Uruguay Import,21888999001,Turkey Marble Panel Inc.,TR,Perfil metal yeso 70mm,perfiles_yeso,721691,TR,UY,4453.25,u,12485.04,1608.18,62.43,0.12,0.22,Nueva Palmira,sea,Perfil metal yeso 70mm - BL ref 53
SEED-00054,2025-07-29,Grupo Andino Building,20111222334,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,8385.96,m2,110067.82,14648.49,550.34,0.14,0.22,Zarate AR,sea,Piso SPC click 5mm - BL ref 54
SEED-00055,2025-07-29,Pisos y Revestimientos S.A.,21222333445,Zhejiang WPC New Materials Co.,CN,Tablero OSB 15mm,osb,441233,CN,UY,4203.4,m3,906803.92,131489.4,4534.02,0.08,0.22,Zarate AR,sea,Tablero OSB 15mm - BL ref 55
SEED-00056,2025-07-29,Grupo Andino Building,20111222334,Brazil Timber Export S.A.,BR,Placa fenólica 18mm,fenolicos,441233,BR,UY,6525.15,m2,201462.1,31667.47,1007.31,0.1,0.22,Nueva Palmira,sea,Placa fenólica 18mm - BL ref 56
SEED-00057,2025-07-29,Maderas Uruguay Import,21888999001,Vietnam Stone Flex Co.,VN,Puerta semi blindada,puertas_semi_blindada,441821,VN,UY,1845.94,u,394145.02,41953.11,1970.73,0.12,0.22,Zarate AR,sea,Puerta semi blindada - BL ref 57
SEED-00058,2025-08-01,Distribuidora Casamax S.A.,211234560018,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,3542.24,m2,51900.58,7758.18,259.5,0.14,0.22,Montevideo,sea,Deck WPC exterior - BL ref 58
SEED-00059,2025-08-01,Maderas Uruguay Import,21888999001,Brazil Timber Export S.A.,BR,Cielorraso PVC blanco,cielorraso_pvc,392590,BR,UY,8845.47,m2,35699.56,4211.68,178.5,0.14,0.22,Nueva Palmira,sea,Cielorraso PVC blanco - BL ref 59
SEED-00060,2025-08-01,Pisos y Revestimientos S.A.,21222333445,Guangdong PVC Ceiling Ltd.,CN,Piedra flexible mural,piedra_flexible,680300,CN,UY,9518.31,m2,104411.77,15274.16,522.06,0.1,0.22,Santos BR,sea,Piedra flexible mural - BL ref 60
SEED-00061,2025-08-01,Materiales del Plata S.R.L.,30709876543,Guangdong PVC Ceiling Ltd.,CN,Perfil metal yeso 70mm,perfiles_yeso,721691,CN,UY,5912.37,u,17992.87,2460.17,89.96,0.12,0.22,Zarate AR,sea,Perfil metal yeso 70mm - BL ref 61
SEED-00062,2025-08-01,Pisos y Revestimientos S.A.,21222333445,Fujian OSB Manufacturing,CN,Puerta semi blindada,puertas_semi_blindada,441821,CN,UY,5794.23,u,617006.22,92738.9,3085.03,0.12,0.22,Santos BR,sea,Puerta semi blindada - BL ref 62
SEED-00063,2025-08-05,Pisos y Revestimientos S.A.,21222333445,Fujian OSB Manufacturing,CN,Cielorraso PVC blanco,cielorraso_pvc,392590,CN,UY,6227.49,m2,21528.33,2600.43,107.64,0.14,0.22,Zarate AR,sea,Cielorraso PVC blanco - BL ref 63
SEED-00064,2025-08-05,Importadora Construya UY,219876540012,Vietnam Stone Flex Co.,VN,Placa simil mármol UV,placas_simil_marmol,681019,VN,UY,10801.9,m2,143549.07,14435.03,717.75,0.12,0.22,Santos BR,sea,Placa simil mármol UV - BL ref 64
SEED-00065,2025-08-05,Grupo Andino Building,20111222334,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,4505.87,m2,41423.9,3908.7,207.12,0.14,0.22,Santos BR,sea,Piso SPC click 5mm - BL ref 65
SEED-00066,2025-08-05,Pisos y Revestimientos S.A.,21222333445,Zhejiang WPC New Materials Co.,CN,Tablero OSB 15mm,osb,441233,CN,UY,10395.4,m3,3224144.52,376021.25,16120.72,0.08,0.22,Montevideo,sea,Tablero OSB 15mm - BL ref 66
SEED-00067,2025-08-05,Grupo Andino Building,20111222334,Turkey Marble Panel Inc.,TR,MDF melamina 18mm,mdf,441114,TR,UY,6828.07,m3,2505401.96,365765.57,12527.01,0.08,0.22,Nueva Palmira,sea,MDF melamina 18mm - BL ref 67
SEED-00068,2025-08-05,Importadora Construya UY,219876540012,Turkey Marble Panel Inc.,TR,Puerta semi blindada,puertas_semi_blindada,441821,TR,UY,6239.19,u,857861.94,117373.66,4289.31,0.12,0.22,Santos BR,sea,Puerta semi blindada - BL ref 68
SEED-00069,2025-08-08,Grupo Andino Building,20111222334,Zhejiang WPC New Materials Co.,CN,Placa simil mármol UV,placas_simil_marmol,681019,CN,UY,1740.21,m2,32816.54,4944.78,164.08,0.12,0.22,Nueva Palmira,sea,Placa simil mármol UV - BL ref 69
SEED-00070,2025-08-08,Grupo Andino Building,20111222334,Vietnam Stone Flex Co.,VN,Piedra flexible mural,piedra_flexible,680300,VN,UY,3170.6,m2,37862.08,5425.11,189.31,0.1,0.22,Santos BR,sea,Piedra flexible mural - BL ref 70
SEED-00071,2025-08-08,Pisos y Revestimientos S.A.,21222333445,Turkey Marble Panel Inc.,TR,Perfil metal yeso 70mm,perfiles_yeso,721691,TR,UY,3625.44,u,5033.5,459.84,25.17,0.12,0.22,Montevideo,sea,Perfil metal yeso 70mm - BL ref 71
SEED-00072,2025-08-08,Maderas Uruguay Import,21888999001,Guangdong PVC Ceiling Ltd.,CN,Tablero OSB 15mm,osb,441233,CN,UY,9549.81,m3,2777068.43,396555.16,13885.34,0.08,0.22,Nueva Palmira,sea,Tablero OSB 15mm - BL ref 72
SEED-00073,2025-08-08,Distribuidora Casamax S.A.,211234560018,Shandong SPC Flooring Group,CN,Placa fenólica 18mm,fenolicos,441233,CN,UY,3471.7,m2,84956.74,8326.38,424.78,0.1,0.22,Nueva Palmira,sea,Placa fenólica 18mm - BL ref 73
SEED-00074,2025-08-08,Importadora Construya UY,219876540012,Vietnam Stone Flex Co.,VN,MDF melamina 18mm,mdf,441114,VN,UY,2679.24,m3,914825.16,130229.75,4574.13,0.08,0.22,Montevideo,sea,MDF melamina 18mm - BL ref 74
SEED-00075,2025-08-11,Distribuidora Casamax S.A.,211234560018,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,11203.54,m2,179941.78,27632.19,899.71,0.14,0.22,Santos BR,sea,Deck WPC exterior - BL ref 75
SEED-00076,2025-08-11,Maderas Uruguay Import,21888999001,Brazil Timber Export S.A.,BR,Cielorraso PVC blanco,cielorraso_pvc,392590,BR,UY,1651.16,m2,8689.16,1163.54,43.45,0.14,0.22,Montevideo,sea,Cielorraso PVC blanco - BL ref 76
SEED-00077,2025-08-11,Maderas Uruguay Import,21888999001,Guangdong PVC Ceiling Ltd.,CN,Piedra flexible mural,piedra_flexible,680300,CN,UY,9717.74,m2,136955.93,12719.76,684.78,0.1,0.22,Santos BR,sea,Piedra flexible mural - BL ref 77
SEED-00078,2025-08-11,Maderas Uruguay Import,21888999001,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,4621.79,m2,58447.99,8624.77,292.24,0.14,0.22,Montevideo,sea,Piso SPC click 5mm - BL ref 78
SEED-00079,2025-08-11,Importadora Construya UY,219876540012,Jiangsu Door Systems Co.,CN,Tablero OSB 15mm,osb,441233,CN,UY,8721.86,m3,2215638.64,313215.24,11078.19,0.08,0.22,Zarate AR,sea,Tablero OSB 15mm - BL ref 79
SEED-00080,2025-08-16,Maderas Uruguay Import,21888999001,Chile MDF Industries,CL,Madera pino radiata,madera,440710,CL,UY,4409.81,m3,1692611.83,263071.71,8463.06,0.08,0.22,Zarate AR,sea,Madera pino radiata - BL ref 80
SEED-00081,2025-08-16,Grupo Andino Building,20111222334,Turkey Marble Panel Inc.,TR,Cielorraso PVC blanco,cielorraso_pvc,392590,TR,UY,4567.64,m2,20450.36,2305.8,102.25,0.14,0.22,Santos BR,sea,Cielorraso PVC blanco - BL ref 81
SEED-00082,2025-08-16,Pisos y Revestimientos S.A.,21222333445,Chile MDF Industries,CL,Placa simil mármol UV,placas_simil_marmol,681019,CL,UY,4611.8,m2,120299.35,16731.58,601.5,0.12,0.22,Zarate AR,sea,Placa simil mármol UV - BL ref 82
SEED-00083,2025-08-16,Materiales del Plata S.R.L.,30709876543,Guangdong PVC Ceiling Ltd.,CN,Perfil metal yeso 70mm,perfiles_yeso,721691,CN,UY,3503.19,u,7478.56,963.7,37.39,0.12,0.22,Nueva Palmira,sea,Perfil metal yeso 70mm - BL ref 83
SEED-00084,2025-08-16,Pisos y Revestimientos S.A.,21222333445,Zhejiang WPC New Materials Co.,CN,Placa fenólica 18mm,fenolicos,441233,CN,UY,1842.2,m2,35797.5,4955.27,178.99,0.1,0.22,Zarate AR,sea,Placa fenólica 18mm - BL ref 84
SEED-00085,2025-08-16,Revestimientos Premium S.A.,21555666778,Fujian OSB Manufacturing,CN,Puerta semi blindada,puertas_semi_blindada,441821,CN,UY,4650.08,u,1020902.97,131213.79,5104.51,0.12,0.22,Zarate AR,sea,Puerta semi blindada - BL ref 85
SEED-00086,2025-08-21,Importadora Construya UY,219876540012,Brazil Timber Export S.A.,BR,Madera pino radiata,madera,440710,BR,UY,2151.35,m3,796154.22,78316.76,3980.77,0.08,0.22,Nueva Palmira,sea,Madera pino radiata - BL ref 86
SEED-00087,2025-08-21,Maderas Uruguay Import,21888999001,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,6223.02,m2,112911.66,17880.97,564.56,0.14,0.22,Zarate AR,sea,Deck WPC exterior - BL ref 87
SEED-00088,2025-08-21,Importadora Construya UY,219876540012,Shandong SPC Flooring Group,CN,Piedra flexible mural,piedra_flexible,680300,CN,UY,4185.4,m2,64338.67,6360.57,321.69,0.1,0.22,Montevideo,sea,Piedra flexible mural - BL ref 88
SEED-00089,2025-08-21,Pisos y Revestimientos S.A.,21222333445,Jiangsu Door Systems Co.,CN,Placa fenólica 18mm,fenolicos,441233,CN,UY,1948.98,m2,29712.8,3265.55,148.56,0.1,0.22,Santos BR,sea,Placa fenólica 18mm - BL ref 89
SEED-00090,2025-08-21,Materiales del Plata S.R.L.,30709876543,Zhejiang WPC New Materials Co.,CN,MDF melamina 18mm,mdf,441114,CN,UY,3627.76,m3,1423332.02,139466.75,7116.66,0.08,0.22,Montevideo,sea,MDF melamina 18mm - BL ref 90
SEED-00091,2025-08-21,Distribuidora Casamax S.A.,211234560018,Zhejiang WPC New Materials Co.,CN,Puerta semi blindada,puertas_semi_blindada,441821,CN,UY,2499.34,u,486132.08,76049.92,2430.66,0.12,0.22,Montevideo,sea,Puerta semi blindada - BL ref 91
SEED-00092,2025-08-24,Pisos y Revestimientos S.A.,21222333445,Turkey Marble Panel Inc.,TR,Madera pino radiata,madera,440710,TR,UY,7590.76,m3,3989647.4,422097.11,19948.24,0.08,0.22,Santos BR,sea,Madera pino radiata - BL ref 92
SEED-00093,2025-08-24,Grupo Andino Building,20111222334,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,4130.36,m2,67074.37,8050.14,335.37,0.14,0.22,Montevideo,sea,Deck WPC exterior - BL ref 93
SEED-00094,2025-08-24,Materiales del Plata S.R.L.,30709876543,Chile MDF Industries,CL,Perfil metal yeso 70mm,perfiles_yeso,721691,CL,UY,8196.8,u,12797.1,1307.44,63.99,0.12,0.22,Montevideo,sea,Perfil metal yeso 70mm - BL ref 94
SEED-00095,2025-08-24,Grupo Andino Building,20111222334,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,5845.64,m2,60469.06,6675.07,302.35,0.14,0.22,Nueva Palmira,sea,Piso SPC click 5mm - BL ref 95
SEED-00096,2025-08-24,Importadora Construya UY,219876540012,Jiangsu Door Systems Co.,CN,Tablero OSB 15mm,osb,441233,CN,UY,1597.21,m3,350878.36,38076.91,1754.39,0.08,0.22,Nueva Palmira,sea,Tablero OSB 15mm - BL ref 96
SEED-00097,2025-08-24,Revestimientos Premium S.A.,21555666778,Brazil Timber Export S.A.,BR,Placa fenólica 18mm,fenolicos,441233,BR,UY,8053.51,m2,267120.66,39497.58,1335.6,0.1,0.22,Montevideo,sea,Placa fenólica 18mm - BL ref 97
SEED-00098,2025-08-24,Pisos y Revestimientos S.A.,21222333445,Chile MDF Industries,CL,MDF melamina 18mm,mdf,441114,CL,UY,7464.49,m3,2872694.5,443783.83,14363.47,0.08,0.22,Santos BR,sea,MDF melamina 18mm - BL ref 98
SEED-00099,2025-08-24,Maderas Uruguay Import,21888999001,Chile MDF Industries,CL,Puerta semi blindada,puertas_semi_blindada,441821,CL,UY,8637.02,u,1833305.03,229223.72,9166.53,0.12,0.22,Santos BR,sea,Puerta semi blindada - BL ref 99
SEED-00100,2025-08-29,Distribuidora Casamax S.A.,211234560018,Turkey Marble Panel Inc.,TR,Madera pino radiata,madera,440710,TR,UY,9026.78,m3,4305463.06,395286.9,21527.32,0.08,0.22,Nueva Palmira,sea,Madera pino radiata - BL ref 100
SEED-00101,2025-08-29,Distribuidora Casamax S.A.,211234560018,Shandong SPC Flooring Group,CN,Tablero OSB 15mm,osb,441233,CN,UY,6069.61,m3,1764779.25,271996.77,8823.9,0.08,0.22,Nueva Palmira,sea,Tablero OSB 15mm - BL ref 101
